10
0;Piqahumoaya
1;Nefexairevu
2;Cogibekaned
3;Uxifufuzeso
4;Tujeropugir
5;Poruyetawoy
6;Siyoqaevake
7;Fomunumekes
8;Vosuenikocu
9;Fotusuyisoa
0.00;27.47;51.67;95.93;26.32;0.00;20.81;0.00;90.52;41.68
27.47;0.00;43.45;0.00;65.97;0.00;104.11;35.92;68.98;0.00
51.67;43.45;0.00;69.61;0.00;63.49;0.00;0.00;22.54;0.00
95.93;0.00;69.61;0.00;18.82;0.00;58.69;0.00;0.00;0.00
26.32;65.97;0.00;18.82;0.00;43.37;80.13;0.00;79.66;70.66
0.00;0.00;63.49;0.00;43.37;0.00;67.17;0.00;99.12;19.80
20.81;104.11;0.00;58.69;80.13;67.17;0.00;12.58;0.00;92.43
0.00;35.92;0.00;0.00;0.00;0.00;12.58;0.00;23.60;0.00
90.52;68.98;22.54;0.00;79.66;99.12;0.00;23.60;0.00;51.70
41.68;0.00;0.00;0.00;70.66;19.80;92.43;0.00;51.70;0.00
